"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"QBtombrady",21.518999919,23.074999595,21.13,25.01999919,2,"16711-6498","Tom Brady","QB","FanDuel","","",25.01999919,8700,"NE","BUF",FALSE,"tombrady",-0.205073368871309,17.1060261108692
"QBtrevorsiemian",15.597333323,14.786666615,13.77333323,15.8,2,"16711-28434","Trevor Siemian","QB","FanDuel","","",13.77333323,6900,"DEN","SD",TRUE,"trevorsiemian",-0.0181081371470019,15.3148946720596
"QBtyrodtaylor",17.274428619,17.532143095,17.21,17.85428619,2,"16711-14377","Tyrod Taylor","QB","FanDuel","","",17.85428619,7600,"BUF","NE",TRUE,"tyrodtaylor",-0.223325427162362,13.4166094686761
"RBaaronripkowski",1.302,1.39,1.28,1.5,2,"16711-27411","Aaron Ripkowski","RB","FanDuel","","",1.5,4500,"GB","ATL",FALSE,"aaronripkowski",0.238563055833975,1.61260909869584
"RBalexcollins",1.878,2.11,1.82,2.4,2,"16711-40843","Alex Collins","RB","FanDuel","","",2.4,4500,"SEA","NO",FALSE,"alexcollins",0.409358885525887,2.64677598701762
"RBalfredblue",5.0562857143,3.7614285715,2.142857143,5.38,2,"16711-31406","Alfred Blue","RB","FanDuel","","",2.142857143,4500,"HOU","DET",TRUE,"alfredblue",0.2463232328967,6.30176635789577
"RBalfredmorris",3.992333346,4.12166673,3.96,4.28333346,2,"16711-22113","Alfred Morris","RB","FanDuel","","",4.28333346,4600,"DAL","PHI",TRUE,"alfredmorris",0.0449609194984228,4.17183232418038
"RBandreellington",2.7442857088,2.121428544,1.342857088,2.9,2,"16711-24682","Andre Ellington","RB","FanDuel","","",1.342857088,4500,"ARI","CAR",FALSE,"andreellington",0.172826819836512,3.21857188057469
"RBandyjanovich",1.5299999924,2.129999962,1.38,2.879999924,2,"16711-27273","Andy Janovich","RB","FanDuel","","",2.879999924,4500,"DEN","SD",TRUE,"andyjanovich",-0.108349478986531,1.36422529037406
"RBbilalpowell",7.7614285605,6.8071428025,5.614285605,8,2,"16711-14320","Bilal Powell","RB","FanDuel","","",5.614285605,5200,"NYJ","CLE",FALSE,"bilalpowell",0.00489247758836431,7.79940117578594
"RBcameronartispayne",1.5363333333,5.0016666665,0.67,9.333333333,2,"16711-38269","Cameron Artis-Payne","RB","FanDuel","","",9.333333333,4700,"CAR","ARI",TRUE,"cameronartispayne",-0.109444292695066,1.36819041829313
"RBcharcandrickwest",4.0209999924,3.824999962,3.579999924,4.07,2,"16711-54687","Charcandrick West","RB","FanDuel","","",3.579999924,4500,"KC","IND",FALSE,"charcandrickwest",0.0361096894275899,4.16619705331391
"RBcjprosise",4.2470000095,3.3150000475,2.150000095,4.48,2,"16711-33472","C.J. Prosise","RB","FanDuel","","",2.150000095,4600,"SEA","NO",FALSE,"cjprosise",0.290191290451191,5.47944242280303
"RBdarrensproles",8.685333346,8.50666673,8.28333346,8.73,2,"16711-7972","Darren Sproles","RB","FanDuel","","",8.28333346,4900,"PHI","DAL",FALSE,"darrensproles",0.0133798407575247,8.8015417230955
"RBdavidjohnson",19.805428484,21.18714242,19.46,22.91428484,2,"16711-62497","David Johnson","RB","FanDuel","","",22.91428484,8700,"ARI","CAR",FALSE,"davidjohnson",0.23900019887763,24.5389298305327
"RBdavidjohnson",19.805428484,21.18714242,19.46,22.91428484,2,"16711-62497","David Johnson","RB","FanDuel","","",22.91428484,8700,"ARI","CAR",FALSE,"davidjohnson",0.311670279890467,25.9781919229589
"RBdeandrewashington",5.7157142966,5.378571483,4.957142966,5.8,2,"16711-32613","DeAndre Washington","RB","FanDuel","","",4.957142966,5500,"OAK","TB",FALSE,"deandrewashington",-0.037817642499015,5.49955945670467
