"","id","Name","Position","PassingCompletions","PassingAttempts","PassingYards","PassingTD","Interceptions","RushingAttempts","RushingYards","RushingTD","Receptions","ReceptionYards","ReceptionTD","MiscFumTD","Misc2Point","FumblesLost","Source","PredictedPoints"
"395","","Bilal Powell","RB",0,0,0,0,0,119.8,489.7,2.6,40.6,321.5,1.3,-1,-1,-1,"ESPN",6.30625
"405","","Jay Ajayi","RB",0,0,0,0,0,117.5,478.4,3.6,18,133.3,0.5,-1,-1,-1,"ESPN",5.21875
"415","","Theo Riddick","RB",0,0,0,0,0,64.2,259.7,1.9,68.7,596.8,2.8,-1,-1,-1,"ESPN",6.98125
"425","","Justin Forsett","RB",0,0,0,0,0,175.5,798.3,4.4,28.8,194.9,0.7,-1,-1,-1,"ESPN",8.03125
"435","","Charles Sims","RB",0,0,0,0,0,107.5,445.6,2.4,55.5,467.3,1.9,-1,-1,-1,"ESPN",7.10625
"441","","Isaiah Crowell","RB",0,0,0,0,0,190.4,772.2,5,15.8,120.6,0.5,-1,-1,-1,"ESPN",7.5625
"511","","James Starks","RB",0,0,0,0,0,123.7,527.2,2.7,20.6,158,0.8,-1,-1,-1,"ESPN",5.33125
"611","","LeGarrette Blount","RB",0,0,0,0,0,189,809.7,5.8,4.5,33.2,0.2,-1,-1,-1,"ESPN",7.31875
"711","","Tevin Coleman","RB",0,0,0,0,0,123.8,519.4,3.9,23.5,170.5,0.6,-1,-1,-1,"ESPN",5.775
"811","","Devontae Booker","RB",0,0,0,0,0,140.3,581.4,4.7,22.7,179.3,0.6,-1,-1,-1,"ESPN",6.54375
"911","","Darren Sproles","RB",0,0,0,0,0,72.1,327.7,2.4,52,431.9,1.4,-1,-1,-1,"ESPN",6.31875
"1011","","James White","RB",0,0,0,0,0,31,126.4,0.9,32.5,300,1.2,-1,-1,-1,"ESPN",3.3375
"1111","","Jerick McKinnon","RB",0,0,0,0,0,77.3,350.8,2.1,37.1,284,0.9,-1,-1,-1,"ESPN",4.9875
"1211","","Christine Michael","RB",0,0,0,0,0,117.7,494.4,2.8,10.5,79,0.4,-1,-1,-1,"ESPN",4.7
"1311","","DeAndre Washington","RB",0,0,0,0,0,79.8,319.3,1.5,22.6,188.2,0.9,-1,-1,-1,"ESPN",3.90625
"1411","","Shane Vereen","RB",0,0,0,0,0,61.1,265.5,1.6,50.7,450.6,2.8,-1,-1,-1,"ESPN",6.0625
"1511","","Spencer Ware","RB",0,0,0,0,0,89.2,391.3,4.4,6,44.6,0.2,-1,-1,-1,"ESPN",4.35
"1611","","Terrance West","RB",0,0,0,0,0,111.3,453.3,3.2,13.7,101.9,0.4,-1,-1,-1,"ESPN",4.5875
"1711","","Kenneth Dixon*","RB",0,0,0,0,0,47.3,200.8,1.3,18.2,155.9,0.6,-1,-1,-1,"ESPN",2.83125
"1811","","C.J. Prosise","RB",0,0,0,0,0,59,244.1,1.6,29.4,242,1.2,-1,-1,-1,"ESPN",3.98125
"1911","","Chris Johnson","RB",0,0,0,0,0,100.8,427.3,2.7,2.1,15.3,0.1,-1,-1,-1,"ESPN",3.6625
"2011","","Jordan Howard","RB",0,0,0,0,0,76.4,307.8,2.6,5.9,44.2,0.2,-1,-1,-1,"ESPN",3.10625
"2111","","Alfred Morris","RB",0,0,0,0,0,91.6,384.1,2.4,3.9,29.3,0.1,-1,-1,-1,"ESPN",3.4375
"2211","","Tim Hightower","RB",0,0,0,0,0,70.4,275,2.7,10,73.3,0.3,-1,-1,-1,"ESPN",3.19375
"2311","","Wendell Smallwood","RB",0,0,0,0,0,41.4,167.3,1.3,4.1,31.1,0.1,-1,-1,-1,"ESPN",1.675
"2411","","Paul Perkins","RB",0,0,0,0,0,48.9,206.2,1.3,4.4,33.4,0.2,-1,-1,-1,"ESPN",1.93125
"2511","","Javorius Allen","RB",0,0,0,0,0,34.4,141.4,1,15,118.4,0.5,-1,-1,-1,"ESPN",2.1
"2611","","Reggie Bush","RB",0,0,0,0,0,69,291.4,1.8,16,119.9,0.6,-1,-1,-1,"ESPN",3.45625
"2711","","Dion Lewis*","RB",0,0,0,0,0,61.1,245.7,1.9,33.6,295.7,1.2,-1,-1,-1,"ESPN",4.36875
"2811","","Charcandrick West","RB",0,0,0,0,0,46.1,184.5,2.1,11.6,85.9,0.3,-1,-1,-1,"ESPN",2.53125
"2911","","Shaun Draughn","RB",0,0,0,0,0,86,328.7,1.9,42.9,310.4,1,-1,-1,-1,"ESPN",4.9625
"3011","","Ka'Deem Carey","RB",0,0,0,0,0,88.2,370.1,2.3,13.9,106.9,0.4,-1,-1,-1,"ESPN",3.88125
