"Key","mean.old","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"TEcjuzomah",4.62,4.62,4.62,1,"16502-31207","C.J. Uzomah","TE","FanDuel","","",4.974999905,5100,"CIN","DAL",FALSE,"cjuzomah",0.00141666262242124,4.62654498131559
"TEcrockettgillmore",2.58,2.58,2.58,1,"16502-45723","Crockett Gillmore","TE","FanDuel","","",2.100000064,4600,"BAL","WAS",TRUE,"crockettgillmore",-0.0320377177354779,2.49734268824247
"TEdelaniewalker",10,10,10,1,"16502-6863","Delanie Walker","TE","FanDuel","","",9.133333206,6400,"TEN","MIA",FALSE,"delaniewalker",0.24375397236146,12.4375397236146
"TEdennispitta",8.51,8.51,8.51,1,"16502-11532","Dennis Pitta","TE","FanDuel","","",7.625,5500,"BAL","WAS",TRUE,"dennispitta",0.243473046536158,10.5819556260227
"TEdionsims",3.15,3.15,3.15,1,"16502-28144","Dion Sims","TE","FanDuel","","",3.53333346,4500,"MIA","TEN",TRUE,"dionsims",-0.0665106603115321,2.94049142001867
"TEdwayneallen",6.84,6.84,6.84,1,"16502-22004","Dwayne Allen","TE","FanDuel","","",6.699999809,5600,"IND","CHI",TRUE,"dwayneallen",-0.127671935738345,5.96672395954972
"TEgarybarnidge",7.94,7.94,7.94,1,"16502-6422","Gary Barnidge","TE","FanDuel","","",6.5,5700,"CLE","NE",TRUE,"garybarnidge",0.0857978277365952,8.62123475222857
"TEhunterhenry",8.16,8.16,8.16,1,"16502-40845","Hunter Henry","TE","FanDuel","","",8.099999746,5400,"SD","OAK",FALSE,"hunterhenry",0.446976996346976,11.8073322901913
"TEjackdoyle",5.86,5.86,5.86,1,"16502-39859","Jack Doyle","TE","FanDuel","","",8.324999809,4700,"IND","CHI",TRUE,"jackdoyle",0.133129700551758,6.6401400452333
"TEjacobtamme",7.16,7.16,7.16,1,"16502-6664","Jacob Tamme","TE","FanDuel","","",8.925000191,5400,"ATL","DEN",FALSE,"jacobtamme",0.172726860497493,8.39672432116205
"TEjasonwitten",8.04,8.04,8.04,1,"16502-6641","Jason Witten","TE","FanDuel","","",7.349999905,5800,"DAL","CIN",TRUE,"jasonwitten",-0.215082262477135,6.31073860968383
"TEjeffheuerman",1.61,1.61,1.61,1,"16502-28487","Jeff Heuerman","TE","FanDuel","Q","Groin",2.900000095,4500,"DEN","ATL",TRUE,"jeffheuerman",-0.307460711262119,1.11498825486799
"TEjessejames",6.33,6.33,6.33,1,"16502-28694","Jesse James","TE","FanDuel","","",6.625,4500,"PIT","NYJ",TRUE,"jessejames",-0.229886598078295,4.8748178341644
"TEjohnphillips",2.75,2.75,2.75,1,"16502-6823","John Phillips","TE","FanDuel","","",7.900000095,4700,"DEN","ATL",TRUE,"johnphillips",-0.147426445154689,2.3445772758246
