"","Name","Position","mean","min","max","freq","range"
"336","Minnesota Vikings","D",8.8125,8.8125,8.8125,1,0
"337","Mohamed Sanu","WR",5.765,3.4,7.3,5,3.9
"338","Mychal Rivera","TE",3.571428571,3.571428571,3.571428571,1,0
"339","Nate Washington","WR",8.71538485,8.71538485,8.71538485,1,0
"340","Nelson Agholor","WR",3.66730767775,3.2,4.9,4,1.7
"341","New England","D",5.8,5.8,5.8,1,0
"342","New England Patriots","D",8.4375,8.4375,8.4375,1,0
"343","New Orleans","D",3.6,3.6,3.6,1,0
"344","New Orleans Saints","D",5.125,5.125,5.125,1,0
"345","New York","D",5.35,4.7,6,2,1.3
"346","New York Giants","D",7.375,7.375,7.375,1,0
"347","New York Jets","D",7.3125,7.3125,7.3125,1,0
"348","Nick Foles","QB",9.64363653,9.64363653,9.64363653,1,0
"349","Nick Folk","K",7.8683035715,7.34375,9.285714286,4,1.941964286
"350","Nick Novak","K",7.6225,7,8,5,1
"351","Nick Williams","WR",3.309091048,3.309091048,3.309091048,1,0
"352","Oakland","D",6.2,6.2,6.2,1,0
"353","Oakland Raiders","D",7,7,7,1,0
"354","Odell Beckham","WR",8.4,8.4,8.4,1,0
"355","Odell Beckham Jr.","WR",14.2279164625,12.8125,18.08666585,4,5.27416585
"356","Patrick Murray","K",6.2875,5,6.93125,3,1.93125
"357","Paul Richardson","WR",4.5,4.5,4.5,1,0
"358","Pharoh Cooper","WR",3.6,3.6,3.6,1,0
"359","Phil Dawson","K",6.96,6.5,8,5,1.5
"360","Philadelphia","D",5.6,5.6,5.6,1,0
"361","Philadelphia Eagles","D",8.25,8.25,8.25,1,0
"362","Philip Rivers","QB",15.526500138,12.7,18.59250069,5,5.89250069
"363","Phillip Dorsett","WR",6.1138636502,3.381818251,8.6,5,5.218181749
"364","Pierre Garcon","WR",8.0037499618,6.23125,11.2,5,4.96875
"365","Pittsburgh","D",6.1,6.1,6.1,1,0
"366","Pittsburgh Steelers","D",9.3125,9.3125,9.3125,1,0
"367","Quan Bray","WR",10.5,10.5,10.5,1,0
"368","Quincy Enunwa","WR",5.35454545466667,3.1,9.1,3,6
"369","Quinton Patton","WR",4.546250019,3.806250095,5.3,5,1.493749905
"370","Randall Cobb","WR",8.639999924,4.5,10.58749962,5,6.08749962
"371","Randy Bullock","K",9,9,9,1,0
"372","Rashad Greene","WR",5.794444402,4.088888804,7.5,2,3.411111196
"373","Rashad Jennings","RB",10.3899999238,9.275,13.7,5,4.425
"374","Reggie Bush","RB",3.45625,3.45625,3.45625,2,0
"375","Richard Rodgers","TE",5.56458346033333,3.7,8.193750381,3,4.493750381
"376","Rishard Matthews","WR",5.87818179,3.5,10.19090895,5,6.69090895
"377","Rob Gronkowski","TE",9.863000082,5.9,14.64000041,5,8.74000041
"378","Robbie Gould","K",7.3533333334,5,9.866666667,5,4.866666667
"379","Robert Griffin","QB",14.9875,14.9875,14.9875,2,0
"380","Robert Griffin III","QB",11.21,4.82,17.6,2,12.78
"381","Robert Turbin","RB",3.185000038,3.170000076,3.2,2,0.0299999240000002
"382","Robert Woods","WR",5.3003570992,4.5,6.764285496,5,2.264285496
"383","Roberto Aguayo","K",7.89375,6.6,8.4875,4,1.8875
"384","Ronnie Hillman","RB",3.75,3.6,3.9,2,0.3
"385","Rueben Randle","WR",7.2312499045,4.7,9.762499809,2,5.062499809
"386","Russell Wilson","QB",20.456250122,19.2125,21.64,5,2.4275
"387","Ryan Fitzpatrick","QB",16.800500152,16.2,18.76250076,5,2.56250076
"388","Ryan Grant","WR",5.5958333015,4.191666603,7,2,2.808333397
"389","Ryan Griffin","TE",4.166666582,3.1,5.233333164,2,2.133333164
"390","Ryan Mallett","QB",10.99142892,10.99142892,10.99142892,1,0
"391","Ryan Mathews","RB",9.2640384616,5.9,13.3,5,7.4
"392","Ryan Nassib","QB",6.71999979,6.71999979,6.71999979,1,0
"393","Ryan Succop","K",6.1928571428,5,6.875,5,1.875
"394","Ryan Tannehill","QB",15.033750092,10.38,16.86375046,5,6.48375046
"395","Sam Bradford","QB",13.950785628,10.90625,16.92,5,6.01375
"396","Sammie Coates","WR",4.996875,4.04375,7,4,2.95625
"397","Sammy Watkins","WR",11.374615432,8.7,14.52307716,5,5.82307716
"398","San Diego","D",3.5,3.5,3.5,1,0
"399","San Diego Chargers","D",5.1875,5.1875,5.1875,1,0
"400","San Francisco","D",4.4,4.4,4.4,1,0
"401","San Francisco 49ers","D",4.5,4.5,4.5,1,0
"402","Seattle","D",6.6,6.6,6.6,1,0
"403","Seattle Seahawks","D",10.3125,10.3125,10.3125,1,0
"404","Sebastian Janikowski","K",8.2775,7.125,12,5,4.875
"405","Seth Roberts","WR",5.05,4.05,6.1,4,2.05
"406","Shane Vereen","RB",6.9962499238,4.4,10.4,5,6
"407","Shaun Draughn","RB",5.31988639825,4.9625,5.854545593,4,0.892045593
"408","Shaun Hill","QB",11.43125,11.43125,11.43125,2,0
"409","Spencer Ware","RB",5.4666667515,4.3,8.866667006,4,4.566667006
"410","Stefon Diggs","WR",7.0444231238,4.4,9.484615619,5,5.084615619
"411","Stephen Gostkowski","K",8.25,5,10.6875,5,5.6875
"412","Sterling Shepard","WR",6.490625,4.7,7.18125,4,2.48125
"413","Steve Smith Sr.","WR",8.8008928575,6.5375,15.42857143,4,8.89107143
"414","Steven Hauschka","K",9.3425,7.7,12,5,4.3
"415","Stevie Johnson","WR",10.02222188,10.02222188,10.02222188,1,0
"416","T.J. Yeldon","RB",8.66041654,7.575,11.49166616,4,3.91666616
"417","T.Y. Hilton","WR",10.636249924,9.7,12.4,5,2.7
"418","Tajae Sharpe","WR",4.446875,3.8,4.79375,4,0.99375
"419","Tampa Bay","D",5.2,5.2,5.2,1,0
"420","Tampa Bay Buccaneers","D",6.625,6.625,6.625,1,0
"421","Tavarres King","WR",7.7,7.7,7.7,1,0
"422","Tavon Austin","WR",7.853749962,5.4,10.79374981,5,5.39374981
"423","Taylor Gabriel","WR",3.174999873,3.174999873,3.174999873,1,0
"424","Ted Ginn","WR",10.8,10.8,10.8,1,0
"425","Ted Ginn Jr.","WR",4.65833333333333,4.1,4.9375,3,0.8375
"426","Teddy Bridgewater","QB",13.395000075,13.09000015,13.7,2,0.609999849999999
"427","Tennessee","D",4.8,4.8,4.8,1,0
"428","Tennessee Titans","D",5.625,5.625,5.625,1,0
"429","Terrance West","RB",4.5875,4.5875,4.5875,2,0
"430","Terrance Williams","WR",7.45,5.925,11.1,5,5.175
"431","Terrelle Pryor","WR",4.86666666666667,4.6,5,3,0.4
"432","Tevin Coleman","RB",4.804166635,3.46666654,5.775,4,2.30833346
"433","Theo Riddick","RB",6.31,4,8.6875,5,4.6875
"434","Thomas Rawls","RB",10.324166642,9.58125,12.6,5,3.01875
"435","Tim Hightower","RB",8.8468750625,3.19375,15.6,4,12.40625
"436","Todd Gurley","RB",14.53961529,14,15.22307645,5,1.22307645
"437","Tom Brady","QB",16.95416692,14.45625,21.95000076,3,7.49375076
"438","Tony Moeaki","TE",4.433333397,4.433333397,4.433333397,1,0
"439","Tony Romo","QB",11.91499996,11.91499996,11.91499996,1,0
"440","Tony Romo*","QB",9.98125,9.98125,9.98125,2,0
"441","Torrey Smith","WR",8.0100000382,6.800000191,9.9,5,3.099999809
"442","Travaris Cadet","RB",6.708333397,6.116666794,7.3,2,1.183333206
"443","Travis Benjamin","WR",7.5562500475,6.54375,10.23750019,4,3.69375019
"444","Travis Coons","K",7.08125,7.0625,7.1,2,0.0374999999999996
"445","Travis Kelce","TE",8.74625,7.26875,11.1,5,3.83125
"446","Tre Mason","RB",3.269230769,3.269230769,3.269230769,1,0
"447","Tre McBride","WR",6.8,6.8,6.8,1,0
"448","Trevor Siemian","QB",9.4075,7.625,11.98,4,4.355
"449","Troy Niklas","TE",4.324999809,4.324999809,4.324999809,1,0
"450","Ty Montgomery","WR",6.975,5.75,8.2,2,2.45
"451","Tyler Boyd","WR",5.17916666666667,4.5,5.51875,3,1.01875
"452","Tyler Eifert","TE",12.73076923,12.73076923,12.73076923,1,0
"453","Tyler Eifert*","TE",5.40625,5.40625,5.40625,2,0
"454","Tyler Ervin","RB",3.09375,3.09375,3.09375,2,0
"455","Tyler Kroft","TE",4.066666603,4.066666603,4.066666603,1,0
"456","Tyler Lockett","WR",6.8412499238,4.1,8.743749619,5,4.643749619
"457","Tyrell Williams","WR",7.6,7.2,8,2,0.8
"458","Tyrod Taylor","QB",18.443571516,16.6625,22,5,5.3375
"459","Vance McDonald","TE",5.0721428354,3.6,8.8,5,5.2
"460","Vernon Davis","TE",4.5,4.5,4.5,1,0
"461","Victor Cruz","WR",4.25,3.7,4.8,2,1.1
"462","Vincent Jackson","WR",7.171000061,4.7,9.080000305,5,4.380000305
"463","Virgil Green","TE",3.66875,3.66875,3.66875,2,0
"464","Washington","D",4.2,4.2,4.2,1,0
"465","Washington Redskins","D",8.3125,8.3125,8.3125,1,0
"466","Wendell Smallwood","RB",3.1,3.1,3.1,1,0
"467","Will Fuller","WR",6.075,4.8,6.7125,3,1.9125
"468","Will Tye","TE",5.3855769466,3.60625,9.1,5,5.49375
"469","Willie Snead","WR",9.007833252,7.05625,12.6,5,5.54375
"470","Zac Stacy","RB",3.699999946,3.699999946,3.699999946,1,0
"471","Zach Ertz","TE",8.5906667074,7.25,11.3,5,4.05
"472","Zach Hocker","K",5.625,5.625,5.625,1,0
"473","Zach Mettenberger","QB",7.028571538,7.028571538,7.028571538,1,0
"474","Zach Miller","TE",6.6450000254,4.1,9.6,5,5.5
