QB,RB,RB,WR,WR,WR,TE,K,D,,Instructions,,,,,,,,,,,,,a
,,,,,,,,,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,a
,,,,,,,,,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,a
,,,,,,,,,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,a
,,,,,,,,,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,a
,,,,,,,,,,,,,,,,,,,,,,,a
,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
,,,,,,,,,,16939-29683:Nelson Agholor,16939-29683,WR,Nelson,,Agholor,5.155555725,9,5200,PHI@SEA,PHI,SEA,,
,,,,,,,,,,16939-12546:Arizona Cardinals,16939-12546,D,Arizona,,Cardinals,9.555555556,9,5100,ARI@MIN,ARI,MIN,,
,,,,,,,,,,16939-24891:Chris Thompson,16939-24891,RB,Chris,,Thompson,7.822222392,9,5100,GB@WAS,WAS,GB,,
,,,,,,,,,,16939-47523:Tajae Sharpe,16939-47523,WR,Tajae,,Sharpe,5.959999847,10,5100,TEN@IND,TEN,IND,,
,,,,,,,,,,16939-28095:Thomas Rawls,16939-28095,RB,Thomas,,Rawls,4.800000191,2,5100,PHI@SEA,SEA,PHI,,
,,,,,,,,,,16939-34295:Breshad Perriman,16939-34295,WR,Breshad,,Perriman,4.911111196,9,5100,BAL@DAL,BAL,DAL,,
,,,,,,,,,,16939-14952:Dan Bailey,16939-14952,K,Dan,,Bailey,9.777777778,9,5100,BAL@DAL,DAL,BAL,,
,,,,,,,,,,16939-26458:Tavon Austin,16939-26458,WR,Tavon,,Austin,8.033333672,9,5100,MIA@LA,LA,MIA,,
,,,,,,,,,,16939-40857:Peyton Barber,16939-40857,RB,Peyton,,Barber,5.279999924,5,5100,TB@KC,TB,KC,,
,,,,,,,,,,16939-30775:Justin Hunter,16939-30775,WR,Justin,,Hunter,5.620000076,5,5000,BUF@CIN,BUF,CIN,Q,Groin
,,,,,,,,,,16939-30788:Tyler Bray,16939-30788,QB,Tyler,,Bray,0,0,5000,TB@KC,KC,TB,,
,,,,,,,,,,16939-53331:Taylor Heinicke,16939-53331,QB,Taylor,,Heinicke,0,0,5000,ARI@MIN,MIN,ARI,,
